x,Macro
-5.0025,0.99903
0.0013,0.99903
0.1966,0.99705
0.2685,0.98492
0.4501,0.94173
0.8045,0.84227
1.1628,0.73505
1.3987,0.6584
1.5085,0.61619
1.5628,0.58903
1.6045,0.55266
1.6311,0.50756
1.6957,-0.90093
1.7298,-0.91452
2.1834,-0.91315
2.6685,-0.91082
3.0062,-0.90555
3.1624,-0.89831
3.2216,-0.89929
3.2734,-0.91918
3.3441,-0.95604
3.4097,-0.99096
3.4652,-0.99873
5.0013,-0.99855
