x,Macro
-5.0007,1.00048
0.0474,0.999
0.1722,0.99795
0.2395,0.97956
0.7181,0.78691
1.3392,0.57853
1.5267,0.51689
1.5873,0.48538
1.6484,0.38961
1.6882,1.21698
1.704,1.23797
1.8077,1.24147
2.2935,1.24321
2.7509,1.24714
2.9129,1.25369
3.0261,1.26506
3.1487,1.28474
3.1912,1.28561
3.232,1.27205
3.2994,1.18415
3.3557,1.08445
3.4012,1.0276
3.4388,1.00748
3.4907,1.00048
3.5882,0.99654
4.9841,0.99827
