x,Macro
-5,1.49999
-2.1985,1.49775
-2.1311,1.50053
-2.1037,1.50932
-2.0754,1.65496
-2.0372,1.81433
-2.0074,1.82557
-1.9625,1.82978
-1.8252,1.83077
0.4095,1.82947
0.8514,1.83105
2.5992,1.83031
4.9987,1.82964
