x,Macro
-4.9935,0.99809
-2.1771,0.99886
-2.1235,1.00152
-2.1047,1.01715
-2.0832,1.1433
-2.0305,1.8687
-1.9995,1.97904
-1.9669,2.00114
-1.912,2.00419
0.0981,2.00422
0.601,2.00278
0.7691,1.99653
0.9442,1.99543
5.0015,1.99543
