x,Macro
-5.0118,1.70196
-2.1304,1.70085
-1.0851,1.39131
-0.4709,1.21286
0.4804,0.93844
1.1329,0.74725
1.9245,0.50498
3.5091,0.49733
3.6407,0.50432
3.7622,0.49723
4.9923,0.49588
